adc ax,ax|6611c0
adc ax,bx|6611d8
adc ax,cx|6611c8
adc ax,dx|6611d0
adc ax,si|6611f0
adc ax,di|6611f8
adc ax,sp|6611e0
adc ax,bp|6611e8
adc ax,0x0|6683d000
adc ax,[0x0]|6613042500000000
adc ax,[ebx]|66671303
adc ax,[esi]|66671306
adc ax,[edi]|66671307
adc ax,[ebp]|6667134500
adc ax,[esp]|6667130424
adc ax,[rbx]|661303
adc ax,[rsi]|661306
adc ax,[rdi]|661307
adc ax,[rbp]|66134500
adc ax,[rsp]|66130424
adc bx,ax|6611c3
adc bx,bx|6611db
adc bx,cx|6611cb
adc bx,dx|6611d3
adc bx,si|6611f3
adc bx,di|6611fb
adc bx,sp|6611e3
adc bx,bp|6611eb
adc bx,0x0|6683d300
adc bx,[0x0]|66131c2500000000
adc bx,[ebx]|6667131b
adc bx,[esi]|6667131e
adc bx,[edi]|6667131f
adc bx,[ebp]|6667135d00
adc bx,[esp]|6667131c24
adc bx,[rbx]|66131b
adc bx,[rsi]|66131e
adc bx,[rdi]|66131f
adc bx,[rbp]|66135d00
adc bx,[rsp]|66131c24
adc cx,ax|6611c1
adc cx,bx|6611d9
adc cx,cx|6611c9
adc cx,dx|6611d1
adc cx,si|6611f1
adc cx,di|6611f9
adc cx,sp|6611e1
adc cx,bp|6611e9
adc cx,0x0|6683d100
adc cx,[0x0]|66130c2500000000
adc cx,[ebx]|6667130b
adc cx,[esi]|6667130e
adc cx,[edi]|6667130f
adc cx,[ebp]|6667134d00
adc cx,[esp]|6667130c24
adc cx,[rbx]|66130b
adc cx,[rsi]|66130e
adc cx,[rdi]|66130f
adc cx,[rbp]|66134d00
adc cx,[rsp]|66130c24
adc dx,ax|6611c2
adc dx,bx|6611da
adc dx,cx|6611ca
adc dx,dx|6611d2
adc dx,si|6611f2
adc dx,di|6611fa
adc dx,sp|6611e2
adc dx,bp|6611ea
adc dx,0x0|6683d200
adc dx,[0x0]|6613142500000000
adc dx,[ebx]|66671313
adc dx,[esi]|66671316
adc dx,[edi]|66671317
adc dx,[ebp]|6667135500
adc dx,[esp]|6667131424
adc dx,[rbx]|661313
adc dx,[rsi]|661316
adc dx,[rdi]|661317
adc dx,[rbp]|66135500
adc dx,[rsp]|66131424
adc si,ax|6611c6
adc si,bx|6611de
adc si,cx|6611ce
adc si,dx|6611d6
adc si,si|6611f6
adc si,di|6611fe
adc si,sp|6611e6
adc si,bp|6611ee
adc si,0x0|6683d600
adc si,[0x0]|6613342500000000
adc si,[ebx]|66671333
adc si,[esi]|66671336
adc si,[edi]|66671337
adc si,[ebp]|6667137500
adc si,[esp]|6667133424
adc si,[rbx]|661333
adc si,[rsi]|661336
adc si,[rdi]|661337
adc si,[rbp]|66137500
adc si,[rsp]|66133424
adc di,ax|6611c7
adc di,bx|6611df
adc di,cx|6611cf
adc di,dx|6611d7
adc di,si|6611f7
adc di,di|6611ff
adc di,sp|6611e7
adc di,bp|6611ef
adc di,0x0|6683d700
adc di,[0x0]|66133c2500000000
adc di,[ebx]|6667133b
adc di,[esi]|6667133e
adc di,[edi]|6667133f
adc di,[ebp]|6667137d00
adc di,[esp]|6667133c24
adc di,[rbx]|66133b
adc di,[rsi]|66133e
adc di,[rdi]|66133f
adc di,[rbp]|66137d00
adc di,[rsp]|66133c24
adc sp,ax|6611c4
adc sp,bx|6611dc
adc sp,cx|6611cc
adc sp,dx|6611d4
adc sp,si|6611f4
adc sp,di|6611fc
adc sp,sp|6611e4
adc sp,bp|6611ec
adc sp,0x0|6683d400
adc sp,[0x0]|6613242500000000
adc sp,[ebx]|66671323
adc sp,[esi]|66671326
adc sp,[edi]|66671327
adc sp,[ebp]|6667136500
adc sp,[esp]|6667132424
adc sp,[rbx]|661323
adc sp,[rsi]|661326
adc sp,[rdi]|661327
adc sp,[rbp]|66136500
adc sp,[rsp]|66132424
adc bp,ax|6611c5
adc bp,bx|6611dd
adc bp,cx|6611cd
adc bp,dx|6611d5
adc bp,si|6611f5
adc bp,di|6611fd
adc bp,sp|6611e5
adc bp,bp|6611ed
adc bp,0x0|6683d500
adc bp,[0x0]|66132c2500000000
adc bp,[ebx]|6667132b
adc bp,[esi]|6667132e
adc bp,[edi]|6667132f
adc bp,[ebp]|6667136d00
adc bp,[esp]|6667132c24
adc bp,[rbx]|66132b
adc bp,[rsi]|66132e
adc bp,[rdi]|66132f
adc bp,[rbp]|66136d00
adc bp,[rsp]|66132c24
adc ah,0x0|80d400
adc ah,ah|10e4
adc ah,al|10c4
adc ah,bh|10fc
adc ah,bl|10dc
adc ah,ch|10ec
adc ah,cl|10cc
adc ah,dh|10f4
adc ah,dl|10d4
adc ah,[0x0]|12242500000000
adc ah,[ebx]|671223
adc ah,[esi]|671226
adc ah,[edi]|671227
adc ah,[ebp]|67126500
adc ah,[esp]|67122424
adc ah,[rbx]|1223
adc ah,[rsi]|1226
adc ah,[rdi]|1227
adc ah,[rbp]|126500
adc ah,[rsp]|122424
adc al,0x0|1400
adc al,ah|10e0
adc al,al|10c0
adc al,bh|10f8
adc al,bl|10d8
adc al,ch|10e8
adc al,cl|10c8
adc al,dh|10f0
adc al,dl|10d0
adc al,[0x0]|12042500000000
adc al,[ebx]|671203
adc al,[esi]|671206
adc al,[edi]|671207
adc al,[ebp]|67124500
adc al,[esp]|67120424
adc al,[rbx]|1203
adc al,[rsi]|1206
adc al,[rdi]|1207
adc al,[rbp]|124500
adc al,[rsp]|120424
adc bh,0x0|80d700
adc bh,ah|10e7
adc bh,al|10c7
adc bh,bh|10ff
adc bh,bl|10df
adc bh,ch|10ef
adc bh,cl|10cf
adc bh,dh|10f7
adc bh,dl|10d7
adc bh,[0x0]|123c2500000000
adc bh,[ebx]|67123b
adc bh,[esi]|67123e
adc bh,[edi]|67123f
adc bh,[ebp]|67127d00
adc bh,[esp]|67123c24
adc bh,[rbx]|123b
adc bh,[rsi]|123e
adc bh,[rdi]|123f
adc bh,[rbp]|127d00
adc bh,[rsp]|123c24
adc bl,0x0|80d300
adc bl,ah|10e3
adc bl,al|10c3
adc bl,bh|10fb
adc bl,bl|10db
adc bl,ch|10eb
adc bl,cl|10cb
adc bl,dh|10f3
adc bl,dl|10d3
adc bl,[0x0]|121c2500000000
adc bl,[ebx]|67121b
adc bl,[esi]|67121e
adc bl,[edi]|67121f
adc bl,[ebp]|67125d00
adc bl,[esp]|67121c24
adc bl,[rbx]|121b
adc bl,[rsi]|121e
adc bl,[rdi]|121f
adc bl,[rbp]|125d00
adc bl,[rsp]|121c24
adc ch,0x0|80d500
adc ch,ah|10e5
adc ch,al|10c5
adc ch,bh|10fd
adc ch,bl|10dd
adc ch,ch|10ed
adc ch,cl|10cd
adc ch,dh|10f5
adc ch,dl|10d5
adc ch,[0x0]|122c2500000000
adc ch,[ebx]|67122b
adc ch,[esi]|67122e
adc ch,[edi]|67122f
adc ch,[ebp]|67126d00
adc ch,[esp]|67122c24
adc ch,[rbx]|122b
adc ch,[rsi]|122e
adc ch,[rdi]|122f
adc ch,[rbp]|126d00
adc ch,[rsp]|122c24
adc cl,0x0|80d100
adc cl,ah|10e1
adc cl,al|10c1
adc cl,bh|10f9
adc cl,bl|10d9
adc cl,ch|10e9
adc cl,cl|10c9
adc cl,dh|10f1
adc cl,dl|10d1
adc cl,[0x0]|120c2500000000
adc cl,[ebx]|67120b
adc cl,[esi]|67120e
adc cl,[edi]|67120f
adc cl,[ebp]|67124d00
adc cl,[esp]|67120c24
adc cl,[rbx]|120b
adc cl,[rsi]|120e
adc cl,[rdi]|120f
adc cl,[rbp]|124d00
adc cl,[rsp]|120c24
adc dh,0x0|80d600
adc dh,ah|10e6
adc dh,al|10c6
adc dh,bh|10fe
adc dh,bl|10de
adc dh,ch|10ee
adc dh,cl|10ce
adc dh,dh|10f6
adc dh,dl|10d6
adc dh,[0x0]|12342500000000
adc dh,[ebx]|671233
adc dh,[esi]|671236
adc dh,[edi]|671237
adc dh,[ebp]|67127500
adc dh,[esp]|67123424
adc dh,[rbx]|1233
adc dh,[rsi]|1236
adc dh,[rdi]|1237
adc dh,[rbp]|127500
adc dh,[rsp]|123424
adc dl,0x0|80d200
adc dl,ah|10e2
adc dl,al|10c2
adc dl,bh|10fa
adc dl,bl|10da
adc dl,ch|10ea
adc dl,cl|10ca
adc dl,dh|10f2
adc dl,dl|10d2
adc dl,[0x0]|12142500000000
adc dl,[ebx]|671213
adc dl,[esi]|671216
adc dl,[edi]|671217
adc dl,[ebp]|67125500
adc dl,[esp]|67121424
adc dl,[rbx]|1213
adc dl,[rsi]|1216
adc dl,[rdi]|1217
adc dl,[rbp]|125500
adc dl,[rsp]|121424
adc [0x0],ax|6611042500000000
adc [0x0],bx|66111c2500000000
adc [0x0],cx|66110c2500000000
adc [0x0],dx|6611142500000000
adc [0x0],si|6611342500000000
adc [0x0],di|66113c2500000000
adc [0x0],sp|6611242500000000
adc [0x0],bp|66112c2500000000
adc [0x0],ah|10242500000000
adc [0x0],al|10042500000000
adc [0x0],bh|103c2500000000
adc [0x0],bl|101c2500000000
adc [0x0],ch|102c2500000000
adc [0x0],cl|100c2500000000
adc [0x0],dh|10342500000000
adc [0x0],dl|10142500000000
adc [0x0],eax|11042500000000
adc [0x0],ebx|111c2500000000
adc [0x0],ecx|110c2500000000
adc [0x0],esi|11342500000000
adc [0x0],edi|113c2500000000
adc [0x0],ebp|112c2500000000
adc [0x0],esp|11242500000000
adc [0x0],rax|4811042500000000
adc [0x0],rbx|48111c2500000000
adc [0x0],rcx|48110c2500000000
adc [0x0],rsi|4811342500000000
adc [0x0],rdi|48113c2500000000
adc [0x0],rbp|48112c2500000000
adc [0x0],rsp|4811242500000000
adc eax,0x0|83d000
adc eax,[0x0]|13042500000000
adc eax,eax|11c0
adc eax,ebx|11d8
adc eax,ecx|11c8
adc eax,esi|11f0
adc eax,edi|11f8
adc eax,ebp|11e8
adc eax,esp|11e0
adc eax,[ebx]|671303
adc eax,[esi]|671306
adc eax,[edi]|671307
adc eax,[ebp]|67134500
adc eax,[esp]|67130424
adc eax,[rbx]|1303
adc eax,[rsi]|1306
adc eax,[rdi]|1307
adc eax,[rbp]|134500
adc eax,[rsp]|130424
adc ebx,0x0|83d300
adc ebx,[0x0]|131c2500000000
adc ebx,eax|11c3
adc ebx,ebx|11db
adc ebx,ecx|11cb
adc ebx,esi|11f3
adc ebx,edi|11fb
adc ebx,ebp|11eb
adc ebx,esp|11e3
adc ebx,[ebx]|67131b
adc ebx,[esi]|67131e
adc ebx,[edi]|67131f
adc ebx,[ebp]|67135d00
adc ebx,[esp]|67131c24
adc ebx,[rbx]|131b
adc ebx,[rsi]|131e
adc ebx,[rdi]|131f
adc ebx,[rbp]|135d00
adc ebx,[rsp]|131c24
adc ecx,0x0|83d100
adc ecx,[0x0]|130c2500000000
adc ecx,eax|11c1
adc ecx,ebx|11d9
adc ecx,ecx|11c9
adc ecx,esi|11f1
adc ecx,edi|11f9
adc ecx,ebp|11e9
adc ecx,esp|11e1
adc ecx,[ebx]|67130b
adc ecx,[esi]|67130e
adc ecx,[edi]|67130f
adc ecx,[ebp]|67134d00
adc ecx,[esp]|67130c24
adc ecx,[rbx]|130b
adc ecx,[rsi]|130e
adc ecx,[rdi]|130f
adc ecx,[rbp]|134d00
adc ecx,[rsp]|130c24
adc esi,0x0|83d600
adc esi,[0x0]|13342500000000
adc esi,eax|11c6
adc esi,ebx|11de
adc esi,ecx|11ce
adc esi,esi|11f6
adc esi,edi|11fe
adc esi,ebp|11ee
adc esi,esp|11e6
adc esi,[ebx]|671333
adc esi,[esi]|671336
adc esi,[edi]|671337
adc esi,[ebp]|67137500
adc esi,[esp]|67133424
adc esi,[rbx]|1333
adc esi,[rsi]|1336
adc esi,[rdi]|1337
adc esi,[rbp]|137500
adc esi,[rsp]|133424
adc edi,0x0|83d700
adc edi,[0x0]|133c2500000000
adc edi,eax|11c7
adc edi,ebx|11df
adc edi,ecx|11cf
adc edi,esi|11f7
adc edi,edi|11ff
adc edi,ebp|11ef
adc edi,esp|11e7
adc edi,[ebx]|67133b
adc edi,[esi]|67133e
adc edi,[edi]|67133f
adc edi,[ebp]|67137d00
adc edi,[esp]|67133c24
adc edi,[rbx]|133b
adc edi,[rsi]|133e
adc edi,[rdi]|133f
adc edi,[rbp]|137d00
adc edi,[rsp]|133c24
adc ebp,0x0|83d500
adc ebp,[0x0]|132c2500000000
adc ebp,eax|11c5
adc ebp,ebx|11dd
adc ebp,ecx|11cd
adc ebp,esi|11f5
adc ebp,edi|11fd
adc ebp,ebp|11ed
adc ebp,esp|11e5
adc ebp,[ebx]|67132b
adc ebp,[esi]|67132e
adc ebp,[edi]|67132f
adc ebp,[ebp]|67136d00
adc ebp,[esp]|67132c24
adc ebp,[rbx]|132b
adc ebp,[rsi]|132e
adc ebp,[rdi]|132f
adc ebp,[rbp]|136d00
adc ebp,[rsp]|132c24
adc esp,0x0|83d400
adc esp,[0x0]|13242500000000
adc esp,eax|11c4
adc esp,ebx|11dc
adc esp,ecx|11cc
adc esp,esi|11f4
adc esp,edi|11fc
adc esp,ebp|11ec
adc esp,esp|11e4
adc esp,[ebx]|671323
adc esp,[esi]|671326
adc esp,[edi]|671327
adc esp,[ebp]|67136500
adc esp,[esp]|67132424
adc esp,[rbx]|1323
adc esp,[rsi]|1326
adc esp,[rdi]|1327
adc esp,[rbp]|136500
adc esp,[rsp]|132424
adc [ebx],ax|66671103
adc [ebx],bx|6667111b
adc [ebx],cx|6667110b
adc [ebx],dx|66671113
adc [ebx],si|66671133
adc [ebx],di|6667113b
adc [ebx],sp|66671123
adc [ebx],bp|6667112b
adc [ebx],ah|671023
adc [ebx],al|671003
adc [ebx],bh|67103b
adc [ebx],bl|67101b
adc [ebx],ch|67102b
adc [ebx],cl|67100b
adc [ebx],dh|671033
adc [ebx],dl|671013
adc [ebx],eax|671103
adc [ebx],ebx|67111b
adc [ebx],ecx|67110b
adc [ebx],esi|671133
adc [ebx],edi|67113b
adc [ebx],ebp|67112b
adc [ebx],esp|671123
adc [ebx],rax|67481103
adc [ebx],rbx|6748111b
adc [ebx],rcx|6748110b
adc [ebx],rsi|67481133
adc [ebx],rdi|6748113b
adc [ebx],rbp|6748112b
adc [ebx],rsp|67481123
adc [esi],ax|66671106
adc [esi],bx|6667111e
adc [esi],cx|6667110e
adc [esi],dx|66671116
adc [esi],si|66671136
adc [esi],di|6667113e
adc [esi],sp|66671126
adc [esi],bp|6667112e
adc [esi],ah|671026
adc [esi],al|671006
adc [esi],bh|67103e
adc [esi],bl|67101e
adc [esi],ch|67102e
adc [esi],cl|67100e
adc [esi],dh|671036
adc [esi],dl|671016
adc [esi],eax|671106
adc [esi],ebx|67111e
adc [esi],ecx|67110e
adc [esi],esi|671136
adc [esi],edi|67113e
adc [esi],ebp|67112e
adc [esi],esp|671126
adc [esi],rax|67481106
adc [esi],rbx|6748111e
adc [esi],rcx|6748110e
adc [esi],rsi|67481136
adc [esi],rdi|6748113e
adc [esi],rbp|6748112e
adc [esi],rsp|67481126
adc [edi],ax|66671107
adc [edi],bx|6667111f
adc [edi],cx|6667110f
adc [edi],dx|66671117
adc [edi],si|66671137
adc [edi],di|6667113f
adc [edi],sp|66671127
adc [edi],bp|6667112f
adc [edi],ah|671027
adc [edi],al|671007
adc [edi],bh|67103f
adc [edi],bl|67101f
adc [edi],ch|67102f
adc [edi],cl|67100f
adc [edi],dh|671037
adc [edi],dl|671017
adc [edi],eax|671107
adc [edi],ebx|67111f
adc [edi],ecx|67110f
adc [edi],esi|671137
adc [edi],edi|67113f
adc [edi],ebp|67112f
adc [edi],esp|671127
adc [edi],rax|67481107
adc [edi],rbx|6748111f
adc [edi],rcx|6748110f
adc [edi],rsi|67481137
adc [edi],rdi|6748113f
adc [edi],rbp|6748112f
adc [edi],rsp|67481127
adc [ebp],ax|6667114500
adc [ebp],bx|6667115d00
adc [ebp],cx|6667114d00
adc [ebp],dx|6667115500
adc [ebp],si|6667117500
adc [ebp],di|6667117d00
adc [ebp],sp|6667116500
adc [ebp],bp|6667116d00
adc [ebp],ah|67106500
adc [ebp],al|67104500
adc [ebp],bh|67107d00
adc [ebp],bl|67105d00
adc [ebp],ch|67106d00
adc [ebp],cl|67104d00
adc [ebp],dh|67107500
adc [ebp],dl|67105500
adc [ebp],eax|67114500
adc [ebp],ebx|67115d00
adc [ebp],ecx|67114d00
adc [ebp],esi|67117500
adc [ebp],edi|67117d00
adc [ebp],ebp|67116d00
adc [ebp],esp|67116500
adc [ebp],rax|6748114500
adc [ebp],rbx|6748115d00
adc [ebp],rcx|6748114d00
adc [ebp],rsi|6748117500
adc [ebp],rdi|6748117d00
adc [ebp],rbp|6748116d00
adc [ebp],rsp|6748116500
adc [esp],ax|6667110424
adc [esp],bx|6667111c24
adc [esp],cx|6667110c24
adc [esp],dx|6667111424
adc [esp],si|6667113424
adc [esp],di|6667113c24
adc [esp],sp|6667112424
adc [esp],bp|6667112c24
adc [esp],ah|67102424
adc [esp],al|67100424
adc [esp],bh|67103c24
adc [esp],bl|67101c24
adc [esp],ch|67102c24
adc [esp],cl|67100c24
adc [esp],dh|67103424
adc [esp],dl|67101424
adc [esp],eax|67110424
adc [esp],ebx|67111c24
adc [esp],ecx|67110c24
adc [esp],esi|67113424
adc [esp],edi|67113c24
adc [esp],ebp|67112c24
adc [esp],esp|67112424
adc [esp],rax|6748110424
adc [esp],rbx|6748111c24
adc [esp],rcx|6748110c24
adc [esp],rsi|6748113424
adc [esp],rdi|6748113c24
adc [esp],rbp|6748112c24
adc [esp],rsp|6748112424
adc rax,0x0|4883d000
adc rax,[0x0]|4813042500000000
adc rax,[ebx]|67481303
adc rax,[esi]|67481306
adc rax,[edi]|67481307
adc rax,[ebp]|6748134500
adc rax,[esp]|6748130424
adc rax,rax|4811c0
adc rax,rbx|4811d8
adc rax,rcx|4811c8
adc rax,rsi|4811f0
adc rax,rdi|4811f8
adc rax,rbp|4811e8
adc rax,rsp|4811e0
adc rax,[rbx]|481303
adc rax,[rsi]|481306
adc rax,[rdi]|481307
adc rax,[rbp]|48134500
adc rax,[rsp]|48130424
adc rbx,0x0|4883d300
adc rbx,[0x0]|48131c2500000000
adc rbx,[ebx]|6748131b
adc rbx,[esi]|6748131e
adc rbx,[edi]|6748131f
adc rbx,[ebp]|6748135d00
adc rbx,[esp]|6748131c24
adc rbx,rax|4811c3
adc rbx,rbx|4811db
adc rbx,rcx|4811cb
adc rbx,rsi|4811f3
adc rbx,rdi|4811fb
adc rbx,rbp|4811eb
adc rbx,rsp|4811e3
adc rbx,[rbx]|48131b
adc rbx,[rsi]|48131e
adc rbx,[rdi]|48131f
adc rbx,[rbp]|48135d00
adc rbx,[rsp]|48131c24
adc rcx,0x0|4883d100
adc rcx,[0x0]|48130c2500000000
adc rcx,[ebx]|6748130b
adc rcx,[esi]|6748130e
adc rcx,[edi]|6748130f
